,text
0,"маленький выбор товаров, хотелось бы ассортимент больше, а так вроде бы все хорошо"
1,быстро
2,доставка постоянно задерживается
3,наценка и ассортимент расстраивают
4,"можно немного скинуть минимальную сумму заказа или оплачивать доставку ,если сумма меньше,как в яндекс маркете"
5,"очень долгая доставка, по факту обещают привезти за num минут, но все время опаздывают . так же бы хотелось чуть более удобный поиск в приложении"
6,в каждом заказе встречаются товары не подлежащего качества
7,постоянно задерживается доставка!!! цены выше. больше не буду делать заказ
8,отличное приложение спасибо большое за доставку благодарю вас
9,долго
10,доставка крайне редко приезжает в срок
11,"цены на некоторые позиции взлетели не оправданно, на некоторые ценник выше магазинного на num спекуляция чистой воды. все реже и реже пользуюсь сервисом и скорее всего перестану использовать совсем. будете и дальше терять клиентов изза ценовой политики"
12,"я настолько разочарована,что даже слов нет!заказала черешню по скидке,но е невозможно есть так как она вся испорченная,просто позор вам,совести у вас нет!как можно так относиться к своим покупателям?!"
13,"страдает доставка, очень долго, хотя пишите num мин., а везте numnum мин."
14,очень очень очень долгая доставка. num заказов подряд не привозили вовремя
15,"удобно, быстро"
16,расширить ассортимент товаров
17,в смысле убрали из заказа? я весь заказ ради этих морепродуктов делал!
18,"доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами."
19,дорого
20,
21,программу надо улучшить
22,"заказ на сумму от num это дорого, было бы лучше как было раньше num"
23,часто стали приезжать просроченные и некачественные продукты
24,раньше доставка была в течение num мин сейчас стала больше и все время меняется время ожидания .
25,не следите за качеством продуктов
26,"если по скидкам и акциям продукты ещ и выходят в нормальной цене, то без них иногда стоят космически. но самое большое расстройство  это доставка. проще назвать, сколько раз за год мне доставили в срок num минут, чем посчитать, сколько раз опаздывали."
27,быстро
28,"поддержка по телефону перестала вообще чтолибо решать  по всем вопросам посылают в телеграмм. в телеграмме не отвечают уже третий день  сначала пишут что надо numnum минут, но никто и за час не подходит  потом это откладывают, потом опять бот и так до б"
29,"доставка стала дольше, это огорчает"
30,привезли размороженную пюреобразную ягоду
31,слишком долгая доставка
32,спасибо!
33,хотелось бы что бы все напитки были охлажденными. а вы привозите теплыми
34,"почти всегда заказы опаздывают. когда звонишь операторам и спрашиваешь почему указано num минут, а по факту может курьер задержаться на полтора часа, специалисты тыкают в какойто договор где чтото там прописано написано. ставьте реальное время доставки"
35,"курьеры как рабы работают у вас , почему их так мало .ждшь заказ по часу . почему их так мало на смене!!!!!!!!!"
36,"очень быстрая доставка. маленький выбор, достаточно высокие цены"
37,"нет никакой системы лояльности к постоянным клиентам. ответы в чате  шаблонами. привозят испорченные продукты и просто возвращают деньги после жалобы, даже никакого промокода в качестве извинений."
38,"доставка очень длительная, пришлось долго ждать"
39,"я думаю о вас хорошо, раньше было лучше. есть ощущение то что стало дороже, а качество хуже  это касается зелени."
40,хороший сервис
41,оочень долгая доставка! жду уже более num минут
42,"доставка стала очень долгой  бывает и по полчаса везут. поднятие цен на доставку тоже не радует. numnum ещ нормально, но бывает и num!!!"
43,"стоимость сильно выше, картинки не соответствую ассортименту."
44,"очень долгая доставка, написано до num минут, или что курьер будет вот вот у вас, а по итогу доставка в среднем numnum минут"
45,"очень долгая доставка. не смотря на то, что мы находимся возле склада самоката"
46,"очень часто виснет приложение , задерживаются доставки , высокие цены на определенные продукты"
47,молодцы
48,"присылаете молочные изделия за день до истечения срока годности, доставка стала нереально долгой, да при этом еще и постоянно огромный спрос"
49,"продукты практически всегда с почти исткшим сроком годности . и тут как повезт , иногда продукт ещ можно употреблять а иногда просто в мусорки испорченные продукты . пока не откроешь пачку , заметить запах продукта по внешнему виду невозможно"
50,"долгая доставка, часты задержки по времени, в сравнении с пятрочкой и магнитом цены на numnum выше , хоть раньше разница не была такой существенной"
51,"не всегда есть возможность выйти в магазин. приходится пользоваться доставкой, неудобно постоянно условно изза банки газировки набирать товаров еще на numр"
52,очень мало промокодов или редко предлагаете товар за num руб
53,"все бы хорошо, если бы не ваше приложение. сначала я думал что это мой хуавей уже старый, не вытягивает. но когда я ловил фризы и глюки с непрогоузом картинок на самсунг snum...... это печаль"
54,долгая доставка
55,"все круто,но вот доставка стала постоянно опаздывать"
56,"доставка быстрая,но цена на вкусняшки огорчает"
57,говно
58,"пишите что доставка num минут,на самом деле все num,и пишется что курьер будет через минуту ждешь num"
59,доставка часто задерживается
60,часто привозят испорченные продукты
61,"вы классные! жаль только, что еда долго едет"
62,"не очень нравится часть доставки, курьеры часто задерживаются и в яндекс лавке курьеры приветливее"
63,"хотелось бы, чтобы у нас также появилась доставка не только за num минут, но и из больших магазинов  был бы больше выбор"
64,"слишком долгая доставка, бывает, что час доставляют"
65,вс отлично
66,"все очень нравится, но жаль, что частенько заканчивается ассортимент любимых продуктов, например, сырки в бельгийском шоколаде. фрукты часто либо еще не дозрели, либо с дефектами в виде вмятин, пятен итд. а идея с рецептами в приложении это просто супер!"
67,"завышена цена, медленные курьеры. техническая поддержка не всегда отвечает"
68,плохая клиентоориентированность при проблемах и долгих доставках нет никаких промокодов
69,большой порог минимального заказа
70,мяу.
71,"цены на отдельные позиции заметно выросли, ассортимент товаров не поспевает за конкурентами."
